stop_id,stop_code,stop_name,stop_lat,stop_lon
2943,12143,"Nowy Dwór (Stacja kolejowa)",51.1198707700,16.9529726300
2944,12144,"Nowy Dwór (Stacja kolejowa)",51.1195270400,16.9530757300
2945,16505,"Skarbowców",51.0662541300,16.9893355300
2947,16723,"Kościelna",51.0628624200,16.9834090000
2948,10333,"Wzgórze Partyzantów",51.1037869200,17.0384902700
2949,24706,"Magellana",51.1135545300,17.1213349700
2950,24705,"Magellana",51.1134611700,17.1222761100
2951,18351,"Eluarda",51.1462276900,16.8674081100
2952,18352,"Eluarda",51.1465008600,16.8672906100
2953,110222,"Wzgórze Partyzantów",51.1042805600,17.0374997100
2954,110221,"Wzgórze Partyzantów",51.1049242300,17.0379534500
2955,25307,"Chińska",51.0608851300,17.0817574600
2956,17509,"Zarembowicza",51.1079012900,16.8993525100
2958,10221,"Wzgórze Partyzantów",51.1042801600,17.0374018900
2959,10222,"Wzgórze Partyzantów",51.1036847000,17.0372823900
2960,17510,"Skarżyńskiego",51.1092096100,16.9041677300
2968,11613,"GRABISZYŃSKA (Cmentarz II)",51.0876858400,16.9751857000
2969,11612,"GRABISZYŃSKA (Cmentarz II)",51.0877532300,16.9753058600
2971,17724,"JERZMANOWO (pętla)",51.1205655600,16.8662508700
2972,12136,"NOWY DWÓR (pętla)",51.1193625700,16.9518957500
2973,12140,"NOWY DWÓR (pętla)",51.1194313300,16.9520998800
2976,17709,"JERZMANOWSKA (pętla)",51.1272973700,16.9024677100
2977,17710,"JERZMANOWSKA (pętla)",51.1275217100,16.9005955800
2978,12138,"NOWY DWÓR (pętla)",51.1194207700,16.9515678100
2979,12142,"NOWY DWÓR (pętla)",51.1194915200,16.9517771400
2980,23165,"KAMIEŃSKIEGO (pętla)",51.1506991100,17.0430711500
2981,23166,"KAMIEŃSKIEGO (pętla)",51.1507006200,17.0432173400
2982,29532,"OSIEDLE SOBIESKIEGO (pętla)",51.1590262600,17.1324327000
2983,29530,"OSIEDLE SOBIESKIEGO (pętla)",51.1592538700,17.1327617400
